,GCM,RCM,RCP,ensemble,institute,Prec,RH,Rs,T,Tmax,Tmin,aP,u2,EToPM,EToPM2,EToHG,EToPT,EToSJ
CanESM2.v1-r9.WETTREG2013.rcp85,CanESM2,WETTREG2013,rcp85,v1-r9,,111,111,DWD.CanESM2.EPISODES2018.r3i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v2-r1.WETTREG2013.rcp85,CanESM2,WETTREG2013,rcp85,v2-r1,,111,111,DWD.CanESM2.EPISODES2018.r3i1p1.rcp85,111,111,11,111,111,11.0,11.0,11.0,11.0,11.0
CanESM2.v2-r10.WETTREG2013.rcp85,CanESM2,WETTREG2013,rcp85,v2-r10,,111,111,DWD.CanESM2.EPISODES2018.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v2-r2.WETTREG2013.rcp85,CanESM2,WETTREG2013,rcp85,v2-r2,,111,111,CanESM2.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v2-r3.WETTREG2013.rcp85,CanESM2,WETTREG2013,rcp85,v2-r3,,111,111,DWD.CanESM2.EPISODES2018.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v2-r4.WETTREG2013.rcp85,CanESM2,WETTREG2013,rcp85,v2-r4,,111,11,CanESM2.v1.REMO2015.rcp85,111,111,111,11,111,11.0,11.0,111.0,11.0,11.0
CanESM2.v2-r5.WETTREG2013.rcp85,CanESM2,WETTREG2013,rcp85,v2-r5,,111,111,DWD.CanESM2.EPISODES2018.r3i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v2-r6.WETTREG2013.rcp85,CanESM2,WETTREG2013,rcp85,v2-r6,,111,111,DWD.CanESM2.EPISODES2018.r4i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v2-r7.WETTREG2013.rcp85,CanESM2,WETTREG2013,rcp85,v2-r7,,111,111,CanESM2.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v2-r8.WETTREG2013.rcp85,CanESM2,WETTREG2013,rcp85,v2-r8,,111,11,DWD.CanESM2.EPISODES2018.r3i1p1.rcp85,111,111,111,111,111,11.0,11.0,111.0,11.0,11.0
CanESM2.v2-r9.WETTREG2013.rcp85,CanESM2,WETTREG2013,rcp85,v2-r9,,111,111,CanESM2.v1.CCLM4-8-17.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v1-r1.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v1-r1,,111,111,DWD.CERFACS-CNRM-CM5.EPISODES2018.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v1-r10.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v1-r10,,111,111,CLMcom.CERFACS-CNRM-CM5.CCLM4-8-17.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v1-r2.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v1-r2,,111,111,DMI.CERFACS-CNRM-CM5.HIRHAM5.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v1-r3.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v1-r3,,111,111,CERFACS-CNRM-CM5.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v1-r4.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v1-r4,,111,111,KNMI.CERFACS-CNRM-CM5.RACMO22E.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v1-r5.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v1-r5,,111,111,DWD.CERFACS-CNRM-CM5.EPISODES2018.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v1-r6.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v1-r6,,111,111,CLMcom.CERFACS-CNRM-CM5.CCLM4-8-17.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v1-r7.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v1-r7,,111,111,CLMcom.CERFACS-CNRM-CM5.CCLM4-8-17.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v1-r8.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v1-r8,,111,111,GERICS.CERFACS-CNRM-CM5.REMO2015.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v1-r9.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v1-r9,,111,111,CERFACS-CNRM-CM5.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v2-r1.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v2-r1,,111,111,GERICS.CERFACS-CNRM-CM5.REMO2015.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v2-r10.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v2-r10,,111,111,DWD.CERFACS-CNRM-CM5.EPISODES2018.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v2-r2.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v2-r2,,111,111,CLMcom.CERFACS-CNRM-CM5.CCLM4-8-17.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v2-r3.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v2-r3,,111,111,KNMI.CERFACS-CNRM-CM5.RACMO22E.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v2-r4.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v2-r4,,111,111,GERICS.CERFACS-CNRM-CM5.REMO2015.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v2-r5.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v2-r5,,111,111,DMI.CERFACS-CNRM-CM5.HIRHAM5.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v2-r6.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v2-r6,,111,111,GERICS.CERFACS-CNRM-CM5.REMO2015.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v2-r7.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v2-r7,,111,111,DWD.CERFACS-CNRM-CM5.EPISODES2018.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v2-r8.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v2-r8,,111,111,DMI.CERFACS-CNRM-CM5.HIRHAM5.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v2-r9.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v2-r9,,111,111,CLMcom.CERFACS-CNRM-CM5.CCLM4-8-17.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r1.WETTREG2013.rcp85,EC-EARTH,WETTREG2013,rcp85,v1-r1,,111,111,KNMI.EC-EARTH.RACMO22E.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r10.WETTREG2013.rcp85,EC-EARTH,WETTREG2013,rcp85,v1-r10,,111,111,KNMI.EC-EARTH.RACMO22E.r3i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r2.WETTREG2013.rcp85,EC-EARTH,WETTREG2013,rcp85,v1-r2,,111,111,DWD.EC-EARTH.EPISODES2018.r12i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r3.WETTREG2013.rcp85,EC-EARTH,WETTREG2013,rcp85,v1-r3,,111,111,DWD.EC-EARTH.EPISODES2018.r12i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r4.WETTREG2013.rcp85,EC-EARTH,WETTREG2013,rcp85,v1-r4,,111,111,KNMI.EC-EARTH.RACMO22E.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r5.WETTREG2013.rcp85,EC-EARTH,WETTREG2013,rcp85,v1-r5,,111,111,DWD.EC-EARTH.EPISODES2018.r12i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r6.WETTREG2013.rcp85,EC-EARTH,WETTREG2013,rcp85,v1-r6,,111,111,DMI.EC-EARTH.HIRHAM5.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r7.WETTREG2013.rcp85,EC-EARTH,WETTREG2013,rcp85,v1-r7,,111,111,KNMI.EC-EARTH.RACMO22E.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r8.WETTREG2013.rcp85,EC-EARTH,WETTREG2013,rcp85,v1-r8,,111,111,DWD.EC-EARTH.EPISODES2018.r9i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
